investor,investor_email,sebi_reg_no,aif_category,investor_city,startup_name,domain,round,amount_usd,headquarters,date
Zeropearl,,,,,ONYA,Fashion Tech,Seed,617000.0,Karnataka,
South Park Commons,,,,,Riverline,Banking Tech,Seed,825000.0,Karnataka,
ABIF IIT Kharagpur,,,,,AgriVijay,Crop Tech,Seed,168000.0,Maharashtra,
Venturi Partners,,,,,Nutraj,Food & Beverage Products,Series C,30900000.0,Uttar Pradesh,
Atha Group,,,,,Neo,Asset Management,Series B,25000000.0,Maharashtra,
Hemant Luthra,,,,,Definedge Securities,Investment Tech,Angel,,Maharashtra,
KKR,,,,,Lighthouse Learning,Early Education,PE,,Maharashtra,
GrowthCap Ventures,,,,,Navanc,RegTech,Seed,672000.0,Karnataka,
Startup Reseau,,,,,LabelBlind,Food Tech,Seed,500000.0,Maharashtra,
Spring,,,,,FAE Beauty,Retail > Beauty Tech,Series A,2000000.0,Maharashtra,
Pontaq,,,,,Dweepi,Travel & Hospitality Tech > Rail IT,Seed,,Delhi,
Maruti Suzuki Innovation,,,,,Ravity,Connected Vehicles,Seed,226000.0,Karnataka,
IvyCap Ventures Advisors,,,,,Agraga,Logistics Tech,Series A,12000000.0,Tamil Nadu,
Korea Investment Holdings,nk@108.vc,IN/AIF2/23-24/1349,Category II,Mumbai,Redrob,HRTech,Series A,10000000.0,Uttar Pradesh,
Bluehill VC,,,,,Sophrosyne Technologies,Semiconductors,Seed,2000000.0,Karnataka,
DBS,,,,,BigBasket,Online Grocery,Debt,22700000.0,Karnataka,
Valorshield,,,,,Bluecopa,Big Data Analytics,Series A,7350000.0,Telangana,
Sony Innovation Fund,,,,,STAN,Social Gaming,Series A,2000000.0,Singapore / Karnataka,
La Vida es Chula,,,,,Pidge,Logistics Tech,Series A,13500000.0,Haryana,
Astanor,,,,,TractorJunction,Auto E-Commerce,Debt,5500000.0,Rajasthan,
Equentis Wealth Advisory,,,,,Stylework,Commercial Real Estate Tech,Series A,3390000.0,Haryana,
Shastra,,,,,Axirium Aerospace,Aerospace Tech,Seed,3500000.0,Telangana,
EvolutionX,,,,,Yubi,Alternative Lending,Debt,37900000.0,Tamil Nadu,
VentureSoul,,,,,SpeedLabs,EdTech,Seed,,Maharashtra,
Hillhouse,,,,,Isprava,Real Estate Developers,Series B,,Maharashtra,
Micro Labs,,,,,Star Air,Passenger Airlines,Series B,16900000.0,Karnataka,
N,,,,,Isprava,Real Estate Developers,Debt,28400000.0,Maharashtra,
A,,,,,Isprava,Real Estate Developers,Debt,28400000.0,Maharashtra,
Abakkus Asset Manager,,,,,Match Graphics,Home Furnishing Products,Unattributed,,Delhi,
Roha Family Office,,,,,Brandworks Technologies,Manufacturing Services,Series A,4000000.0,Maharashtra,
Mirova,,,,,Varaha,Carbon Removal & Agri SaaS,Series B,30000000.0,Haryana,
Virendra Prasad,,,,,Event Planet,Event Services,Angel,250000.0,Uttar Pradesh,
Indian Angel Network,,,,,Trishul Space,Space Tech,Seed,451000.0,Delhi,
Niveshaay,,,,,Waaree,Energy Storage,Series C,36700000.0,Maharashtra,
ah! Ventures,,,,,Ochre Spirits,Restaurants,Seed,,Goa,
Owl Ventures,,,,,TETR,Educational Support,Series B,18000000.0,Haryana,
Insight Partners,,,,,Attentive,Construction Tech,Series B,30500000.0,Delhi,
Wabag,,,,,Nimble Vision,Smart Cities,Seed,,Karnataka,
MGF Kavachh,,,,,Coratia,Water & Wastewater Tech,Seed,563000.0,Odisha,
Arnya,,,,,MAIA Estates,Real Estate Developers,Series B,13500000.0,Karnataka,
UTI AMC,,,,,Ecozen Solutions,Food and Agriculture Tech > Crop Tech,Debt,12500000.0,Maharashtra,
PedalStart,,,,,InsightAI,FinTech > Finance & Accounting Tech,Seed,124000.0,Delhi,
Alps Financial Consultants,,,,,The Policy Exchange,FinTech > Internet First Insurance Platforms,Series B,1500000.0,Uttar Pradesh,
PeerCapital,,,,,Game State Labs,Gaming > Gaming Tech,Seed,2000000.0,Karnataka,
Ambarish Kenghe,,,,,Wyzard,High Tech > Chatbots,Angel,500000.0,Haryana,
Enrission India Capital,,,,,Stackbox,Retail > E-Commerce Enablers,Series A,4000000.0,Karnataka,
Goldman Sachs,,,,,MoEngage,Enterprise Applications > Customer Success Management,Series F,60000000.0,California / Karnataka,
Hivemind,,,,,Zynk,FinTech > Digital Remittance,Seed,5000000.0,California / Telangana,
iDEX,,,,,Tsalla Aerospace Technologies,High Tech > Drones,Grant,,Karnataka,
Green Climate Fund,,,,,Kshema,FinTech > Insurance Platforms,Series A,20000000.0,Telangana,
Sky7Ventures,,,,,Customer Capital,Business Services > Loyalty Services,Seed,,-,
Rajeev Kakkan Attu Rajappan,,,,,Creddinv,FinTech > Investment Tech,Angel,56500.0,Karnataka,
Inviga Healthcare Fund,,,,,Forus Health,Life Sciences > Ophthalmology,Series B,,Karnataka,
DST,,,,,Mentorgain,Enterprise Apps > HRTech,Grant,,Maharashtra,
General Atlantic,,,,,Snapmint,Retail > Horizontal E-Commerce,Series B,115000000.0,Maharashtra,
Vitruvian Partners,,,,,HFS,Financial Services > Consumer & SME Loans,PE,92000000.0,Maharashtra,
Mirae Asset Venture Investments,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,Jupiter,FinTech > Banking Tech,Series C,15000000.0,Maharashtra,
Affirma Capital,,,,,RMSI,High Tech > Geographic Information Systems,PE,56000000.0,Uttar Pradesh,
SageOne Investment Advisors,,,,,LKP Finance,Financial Services > Consumer & SME Loans,Post-IPO,14200000.0,Maharashtra,
Chimera,,,,,Exiles,Gaming > PC & Console Gaming,Seed,355000.0,Karnataka,
Momentum Capital,,,,,Beyond Renewables,Environment Tech > Solid Waste Management,Seed,566000.0,Delhi,
Axis Bank,,,,,Optimo Capital (Debt),FinTech > Alternative Lending,Debt,12500000.0,Karnataka,
Capitar Ventures,,,,,BioPrime,Food and Agriculture Tech > Crop Tech,Series A,1240000.0,Maharashtra,
Subhkam Ventures,,,,,Neulife,HealthTech > Fitness & Wellness Tech,Unattributed,1000000.0,Maharashtra,
Indian Overseas Bank,,,,,Dhobi G,Consumer > Local Services,Debt,171000.0,Tamil Nadu,
Bluehill Capital Trust,,,,,Helex,Life Sciences > Genomics,Seed,,Telangana,
Centre Court Capital,,,,,Michezo Sports,Consumer > Sports Services,Seed,2500000.0,Karnataka,
Asha,,,,,Wonderland Foods,Food & Agriculture > Food & Beverage Products,Series B,16000000.0,Delhi,
Nicolas Walewski,,,,,CapitalXB Finance,Financial Services > Consumer and SME Loans,Debt,,Maharashtra,
Abler Nordic,,,,,Berar Finance,Financial Services > Consumer and SME Loans,PE,17000000.0,Maharashtra,
New Enterprise Associates,,,,,Uniphore,High Tech > Generative AI,Series F,260000000.0,California / Tamil Nadu,
thefef.net,,,,,Stylox,Consumer Goods > Apparel Brands,Seed,340000.0,Haryana,
The Players Fund,,,,,Fundamento,Enterprise Applications > Customer Service Software,Seed,1900000.0,California / Delhi,
NIIF,,,,,EKA,Energy Tech > Electric Vehicles,Series A,57000000.0,Maharashtra,
Negen Capital PMS,,,,,HooLiv,Consumer > Residential Real Estate Tech,Seed,2730000.0,Delhi,
AID,,,,,Kraya,Enterprise Applications > SCM Software,Seed,113000.0,Maharashtra,
Granite Asia,,,,,Kuku FM,Consumer > Vernacular Platforms,Series C,50000000.0,Maharashtra,
Post Road Group,,,,,CoreStack,Enterprise Infrastructure > IT Operations,Convertible Debt,50000000.0,Washington / Tamil Nadu,
Coinbase,,,,,CoinDCX,FinTech > Cryptocurrencies,Series D,,Maharashtra,
TAC,,,,,Airoclip,Mobile > Mobile Gaming,Seed,2750000.0,Karnataka,
Humba Ventures,,,,,Airbound,High Tech > Drones,Seed,8650000.0,Karnataka,
Authum,,,,,Onida,Consumer Goods > TV & Audiovisual Products,Post-IPO,14800000.0,Maharashtra,
Lighthouse,,,,,Hunger,Food & Agriculture > Food Service Chains,Series A,,Maharashtra,
Magnifiq Capital Trust,,,,,Hala Mobility,Consumer > Auto E-Commerce & Content,Series A,3380000.0,Telangana,
MassMutual Ventures,,,,,Qapita,FinTech > Investment Tech,Series B,26500000.0,Singapore / Telangana,
Matrimony.com,,,,,Ask My Guru,Consumer > Religion Tech,Seed,500000.0,Karnataka,
Multiply Ventures,,,,,Eternz,Consumer > Fashion Tech,Seed,,Karnataka,
GrowMo360,,,,,GH2 Solar,Energy > Solar Energy,Series A,6500000.0,Uttar Pradesh,
ajvc,,,,,Jaagruk Bharat,Media & Entertainment > Internet First Media,Seed,169000.0,Delhi,
Ramesh Gandhi,,,,,Rusk Media,Media & Entertainment > Film & TV Studios,Angel,169000.0,Maharashtra,
Finvolve,,,,,TrusTerra,Auto > Auto Retail & Aftersales,Seed,1010000.0,Haryana,
Equirus Wealth,ronak@11hadvisors.com,IN/AIF3/23-24/1391,Category III,Ahmedabad,Consuma,Enterprise Applications > MarketingTech,Seed,1300000.0,Karnataka,
Jindagilive Angel Network,,,,,ZillOut,Food and Agriculture Tech > Food Tech,Seed,310000.0,Karnataka,
DSP Group Family Office,,,,,Finarkein Analytics,FinTech > Banking Tech,Seed,,Maharashtra,
Lloyds steel,,,,,PRYM Aerospace,High Tech > Drones,Seed,2410000.0,Maharashtra,
Abyro Capital,,,,,Navata Supply Chain Solutions,Business Services > Supply Chain Services,Series A,1520000.0,Telangana,
AIC-Nalanda Institute Of Technology Foundation,,,,,Exsure,Life Sciences > Oncology,Seed,11300.0,Odisha,
Tejas Paresh Lodaya,,,,,DecorTwist,Consumer Goods > Home Furnishing Products,Seed,200000.0,Uttar Pradesh,
Oneup Financial Consultants,,,,,JSW One MSME,Enterprise Applications > Manufacturing Tech,Series B,26500000.0,Maharashtra,
Jamwant Ventures,,,,,ThrustWorks Dynetics,"Aerospace, Maritime & Defense Tech > Space Tech",Seed,789000.0,Maharashtra,
Plutus Wealth Management,,,,,Art Of Time,Consumer Goods > Retailers,Series B,,Maharashtra,
IHC,,,,,Sammaan Capital,Financial Services > Consumer and SME Loans,Post-IPO,1000000000.0,Delhi,
Marshall Wace,,,,,Sammaan Capital,Financial Services > Consumer and SME Loans,Post-IPO,1000000000.0,Delhi,
Tata Motors,,,,,Freight Tiger,Consumer > Logistics Tech,Series C,13500000.0,Maharashtra,
Lightspeed India,,,,,Freight Tiger,Consumer > Logistics Tech,Series C,13500000.0,Maharashtra,
CapitalOven,,,,,Recyclaro.com,Environment Tech > Solid Waste Management Tech,Seed,1000000.0,Uttar Pradesh,
Blue Earth Capital,,,,,GrowXCD,Financial Services > Consumer and SME Loans,Series B,22500000.0,Tamil Nadu,
Foxhog Ventures,,,,,Assesslim,High Tech > AI Infrastructure,Seed,5000000.0,West Bengal,
IDEAS TIH,,,,,Assesslim,High Tech > AI Infrastructure,Seed,5000000.0,West Bengal,
Wavemaker Partners,,,,,VAMAm,Consumer > Local Services,Seed,2500000.0,Delhi,
7Square Ventures,,,,,VAMAm,Consumer > Local Services,Seed,2500000.0,Delhi,
Arkam Ventures,,,,,Fyno,Enterprise Applications > Customer Success Management,Seed,4000000.0,Karnataka,
InCred,,,,,Recur Club,FinTech > Alternative Lending,Debt,42000000.0,Delhi,
Sanjay Katkar,,,,,Wit And Chai Group,Business Services > Marketing Services,Seed,,Maharashtra,
Dharana,,,,,Petpoojam,Food and Agriculture Tech > Food Tech,Series C,,Gujarat,
Vertex Growth,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,Kapivas,Life Sciences > Nutraceuticals Tech,Series D,28000000.0,Karnataka,
Jetty Ventures,,,,,Kapivas,Life Sciences > Nutraceuticals Tech,Series D,28000000.0,Karnataka,
Toyoda Gosei,,,,,EF Polymer,Chemicals and Materials > Polymers,Series B,,Rajasthan,
Beyond Next Ventures,,,,,EF Polymer,Chemicals and Materials > Polymers,Series B,,Rajasthan,
Vikasa India EIF Fund,,,,,RUGR,FinTech > Banking Tech,Seed,5000000.0,Karnataka,
Lightspeed Ventures,,,,,Emergent,AI,Series A,23000000.0,Gurugram,
Iron Pillar,,,,,Chakr Innovation,Clean Tech,Series C,23000000.0,Gurugram,
3State Ventures,,,,,Curefoods,Foodtech,–,18000000.0,Bengaluru,
Salesforce Ventures,,,,,Rocket,AI,Seed,15000000.0,Bengaluru,
Dr Arokiaswamy Velumani (founder,,,,,Simple Energy,Clean Tech,–,10000000.0,Bengaluru,
Thyrocare),,,,,Simple Energy,Clean Tech,–,10000000.0,Bengaluru,
Bajaj Finserv Group,,,,,KisanKonnect,AgriTech,Pre-Series A,8100000.0,Ahmednagar,
Analah Capital,,,,,PRISM,Travel Tech,–,5600000.0,Mumbai,
Peak XV (Surge),,,,,OnFinance,AI,Pre-Series A,4200000.0,Bengaluru,
AVCF,,,,,Cosmoserve Space,Advanced Hardware & Technology,Pre-Seed,3200000.0,Hyderabad,
Bipin Patel Family Office,,,,,Xbattery,Clean Tech,Seed,2300000.0,Hyderabad,
Equentis,,,,,Grest,Ecommerce,–,1800000.0,Cuttack,
Sahyadri Farms,,,,,Bharat Intelligence,AgriTech,Pre-Seed,790000.0,Mumbai,
AJVC,,,,,Gaadimech,Consumer Services,–,169000.0,Jaipur,
Baird Capital,,,,,EvoluteIQ,Enterprise Tech,–,53000000.0,Bengaluru,
Omnitex Industries,,,,,Blue Energy Motors,Clean Tech,-,30000000.0,Pune,
Bajaj Financial Securities,,,,,EcoSoul,Ecommerce,Series B,20000000.0,Noida,
Globaz Technologies,info@paulasset.com,IN/AIF3/24-25/1602,Category III,Kolkata,SpaceFields,Advanced Hardware & Technology,Pre-Series A,5000000.0,Bengaluru,
UNLEASH Capital Partners,,,,,Pelocal,FinTech,Series A,5000000.0,Chennai,
Foliflex Cables,,,,,Blinkit-AI,AI,Seed,1200000.0,Gurugram,
Zeropearl VC,,,,,Supply6,Ecommerce,Seed,1100000.0,Bengaluru,
Blue Ocean Venture Partners,,,,,UGX.ai,AI,Seed,1000000.0,Gurugram,
Eximius Ventures,,,,,MyNaksh,Consumer Services,Pre-Seed,852000.0,Bengaluru,
Technology Development Board (Ministry of Science & Technology),,,,,Raptee.HV,Clean Tech,-,,Chennai,
MGA Ventures,,,,,Presolv360,Enterprise Services,Series A,4700000.0,Mumbai,
Cactus Partners,,,,,Indigrid Technology,Enterprise Services,—,4000000.0,Gurugram,
RPSG Capital,,,,,Asaya,Ecommerce,Pre-Series A,3200000.0,Bengaluru,
Caret Capital,,,,,PeakAmp,Clean Tech,Seed,1400000.0,Gurugram,
Samved Ventures,,,,,FarmDidi,Ecommerce,Seed,793000.0,Mumbai,
Calance Software; Amit Govil (chairman,,,,,Prowrrap,Enterprise Services,Pre-Series A,453000.0,Delhi,
Calance Corporation),,,,,Prowrrap,Enterprise Services,Pre-Series A,453000.0,Delhi,
Nu Ventures,,,,,Misfits,Ecommerce,Seed,,Gurugram,
Alok Oberoi (chairman,,,,,TraqCheck,AI,—,,New Delhi,
Everstone Capital); Siddharth Mehta (founder,,,,,TraqCheck,AI,—,,New Delhi,
Bay Capital),,,,,TraqCheck,AI,—,,New Delhi,
Bain Capital,,,,,Colive,Real Estate Tech,Series B,20000000.0,Bengaluru,
Archean Chemicals Industries,,,,,Offgrid Energy,Clean Tech,Series A,15000000.0,Gurugram,
Enetra India,,,,,LeafyBus,Travel Tech,Pre-Series A,4099999.9999999995,Delhi,
M Venture Partners,,,,,House of Zelena,Ecommerce,Seed,793000.0,New Delhi,
Ramesh Kannan (MD,,,,,Cuzor,Ecommerce,Seed,566000.0,Bengaluru,
Kaynes Technology),,,,,Cuzor,Ecommerce,Seed,566000.0,Bengaluru,
Trillion Dollar Venture Partners,,,,,QuantE Energy,Clean Tech,Seed,500000.0,Noida,
BioAngels (IAN Group),,,,,Dectrocel,HealthTech,–,453000.0,Lucknow,
Vertex Ventures Southeast Asia & India,,,,,Palmonas,Ecommerce,Series A,6200000.0,Pune,
Sorin Investments,,,,,Enmovil,Logistics,Series A,6000000.0,Hyderabad,
Tanglin Ventures,,,,,Matiks,Media & Entertainment,Pre-Series A,3100000.0,Haveri,
–,,,,,Anmasa,Ecommerce,Pre-Seed,1100000.0,Gurugram,
VCMint,,,,,Vaave,Enteprise Tech,–,748000.0,Hyderabad,
Filter Capital,,,,,R For Rabbit,Ecommerce,Series B,27000000.0,Ahmedabad,
growX ventures,,,,,PeelON,Enterprise Services,Seed,1000000.0,Vishakhapatnam,
I'n Angel Fund,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,Famyo,Ecommerce,Seed,457000.0,Bengaluru,
Motilal Oswal Financial Services Ltd,,,,,Zepto,Consumer Services,—,45700000.0,Bengaluru,
Ontario Teachers’ Pension Plan,,,,,Darwinbox,Enterprise Tech,—,40000000.0,Hyderabad,
Glade Brook Capital,,,,,Pronto,Consumer Services,Series A,11000000.0,Gurugram,
Tin Men Capital,,,,,Graas.ai,Artificial Intelligence (AI),Series B,9000000.0,Singapore,
Eniac Ventures,,,,,Refold AI,Artificial Intelligence (AI),Seed,6500000.0,Bengaluru,
Tidal Ventures,,,,,Refold AI,Artificial Intelligence (AI),Seed,6500000.0,Bengaluru,
Incubate Fund Asia,,,,,Fairdeal.Market,Ecommerce,Pre-Series A,3000000.0,Gurugram,
Playbook Partners,,,,,RENEE Cosmetics,Ecommerce,Series C,30000000.0,Ahmedabad,
Franklin Templeton Alternative Investments Fund,,,,,Fibe,FinTech,Debt,25000000.0,Pune,
Skycatcher,,,,,SuperGaming,Media & Entertainment,Series A,15000000.0,Pune,
Steadview Capital,,,,,SuperGaming,Media & Entertainment,Series A,15000000.0,Pune,
Unleash Capital Partners,,,,,Zype,FinTech,—,10300000.0,Mumbai,
Livspace,,,,,TPlusA India,Ecommerce,Seed,5800000.0,Bangalore,
Valour Capital,,,,,HYLENR,Clean Tech,Pre-Series A,3000000.0,Hyderabad,
Chhattisgarh Investments,,,,,HYLENR,Clean Tech,Pre-Series A,3000000.0,Hyderabad,
MapmyIndia,,,,,Zepto,Consumer Services,—,2900000.0,Bangalore,
Xeed Ventures,,,,,CodeKarma,Artificial intelligence (AI),Pre-Seed,2500000.0,Bangalore,
Piper Serica,,,,,Xovian Aerospace,Advanced Hardware & Technology,Pre-Seed,2500000.0,Bangalore,
Eternal Capital,,,,,Gladful,Ecommerce,—,913000.0,Jaipur,
Inuka Capital,,,,,Terafac,Advanced Hardware & Technology,Pre-Seed,800000.0,Chandigarh,
Ranbir Kapoor,,,,,Prozo,Logistics,—,,Gurugram,
Avataar Venture Partners,,,,,Safe Security,Enterprise Tech,Series C,70000000.0,New Delhi,
Equentis Angel Fund,ashutosh.naik@iiflw.com,IN/AIF3/16-17/0286,Category III,Mumbai,Sharpsell.ai,Enterprise Tech,Series A,3400000.0,Mumbai,
Pravek Family Office,,,,,Snooplay,Ecommerce,Pre-Series A,916000.0,New Delhi,
Elcid Investments,,,,,Zepto,Consumer Services,–,857000.0,Bengaluru,
Aroa Venture Partners,,,,,Passport Trips,Travel Tech,Pre-Seed,500000.0,Mumbai,
3STATE Ventures,,,,,SuperK,Consumer Services,Series B,11500000.0,Bengaluru,
Cercano Management,,,,,EduFund,FinTech,Series A,6000000.0,Ahmedabad,
Sky Impact Capital,,,,,Hudle,Enterprise Tech,Series A,2500000.0,Delhi,
Utsav Somani,,,,,Grexa AI,Artificial Intelligence (AI),Seed,1800000.0,Thane,
Ovington Capital Partners,,,,,Plenome Technologies,Enterprise Tech,Seed,752000.0,Chennai,
Curefit,,,,,ApClub,Consumer Services,Pre-Seed,231000.0,Bengaluru,
GVFL Limited,,,,,Magma,Enterprise Services,–,,Ahmedabad,
Pagariya Exports Pvt Ltd,,,,,Roast Foods,Ecommerce,–,,Pune,
National Quantum Mission,,,,,QpiAI,Advanced Hardware & Technology,Series A,32000000.0,Bengaluru,
First Luxembourg SCA,,,,,CureFit,HealthTech,–,2000000.0,Bengaluru,
Rahul Dewan,,,,,Zuppa,Advanced Hardware & Technology,–,1500000.0,Chennai,
LVX,,,,,The Wedding Company,Consumer Services,Pre-Seed,1000000.0,Bengaluru,
O2 Angels,,,,,Unibose,Advanced Hardware & Technology,Pre-Series A,639000.0,Chennai,
TDV Partners,,,,,Zulu Club,Consumer Services,Pre-Seed,250000.0,Gurugram,
Malika Sadani,,,,,CosMoss,Ecommerce,Seed,,Gurugram,
Hyperscope,,,,,Onetab.ai,Artificial intelligence (AI),–,,Bengaluru,
Elrise,,,,,Onetab.ai,Artificial intelligence (AI),–,,Bengaluru,
Partners Group,,,,,Infinity Fincorp,FinTech,-,70000000.0,Mumbai,
Narotam Sekhsaria Family Office,,,,,Khetika,Ecommerce,Series B,18000000.0,Bengaluru,
Pravega Ventures,,,,,InPrime Finserv,FinTech,Series A,6000000.0,Bengaluru,
Spring Marketing Capital,,,,,Cookd,Ecommerce,Pre-Series A,2000000.0,Chennai,
Mistry Ventures,,,,,AMAMA,Ecommerce,-,1000000.0,New Delhi,
Indigo Ventures,,,,,Jeh Aerospace,Advanced Hardware & Technology,-,,Hyderabad,
Basil Moftah,,,,,LdotR,Enterprise Services,-,,New Delhi,
Mark Garlinghouse,,,,,LdotR,Enterprise Services,-,,New Delhi,
Chennai Angels,,,,,Qoruz,Media & Entertainment,Pre-Series A,,Bengaluru,
SC Ventures,,,,,Jumbotail,Ecommerce,Series D,120000000.0,Bengaluru,
Artal Asia,,,,,Jumbotail,Ecommerce,Series D,120000000.0,Bengaluru,
Mars Growth Capital,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,Infra.Market,Real Estate Tech,Debt,50000000.0,Thane,
Morgan Stanley,,,,,InCred Finance,FinTech,Debt,46800000.0,Mumbai,
Nippon Life India,,,,,InCred Finance,FinTech,Debt,46800000.0,Mumbai,
Gaja Capital,,,,,Eggoz,Ecommerce,Series C,20000000.0,Gurugram,
Rebright Partners,,,,,Eggoz,Ecommerce,Series C,20000000.0,Gurugram,
NABVENTURES,,,,,Eggoz,Ecommerce,Series C,20000000.0,Gurugram,
Merisis Opportunities Fund,,IN/AIF1/17-18/0321,Category I,,Eggoz,Ecommerce,Series C,20000000.0,Gurugram,
Arvind Thakur,,,,,Eggoz,Ecommerce,Series C,20000000.0,Gurugram,
S Ramadorai,,,,,Eggoz,Ecommerce,Series C,20000000.0,Gurugram,
Artek Chemicals,,,,,Eggoz,Ecommerce,Series C,20000000.0,Gurugram,
Blue Dot Capital,,,,,Eggoz,Ecommerce,Series C,20000000.0,Gurugram,
Ashok Goel,,,,,Bambrew,Enterprise Services,Series B,10500000.0,Bengaluru,
No Label Ventures,,,,,Zango AI,Artificial Intelligence (AI),Seed,4800000.0,Indore,
Start Ventures,,,,,Zango AI,Artificial Intelligence (AI),Seed,4800000.0,Indore,
Ameera Shah,,,,,Luma Fertility,HealthTech,Seed,4000000.0,Mumbai,
Vijay Taparia,,,,,Luma Fertility,HealthTech,Seed,4000000.0,Mumbai,
WaterBridge Ventures,,,,,Loopworm,HealthTech,Pre-Series A,3300000.0,Bengaluru,
Vinayender Tulla,,,,,Lamark Biotech,HealthTech,Pre-Series A,767000.0,Bengaluru,
Nita Roy,,,,,Lamark Biotech,HealthTech,Pre-Series A,767000.0,Bengaluru,
Venkataraman KNK,,,,,Lamark Biotech,HealthTech,Pre-Series A,767000.0,Bengaluru,
Raghav Singhal,,,,,FitFeast,Ecommerce,Seed,644000.0,New Delhi,
Santosh Govindaraju,,,,,FitFeast,Ecommerce,Seed,644000.0,New Delhi,
Abhishek Chopra,,,,,FitFeast,Ecommerce,Seed,644000.0,New Delhi,
Aabhas Khanna,,,,,FitFeast,Ecommerce,Seed,644000.0,New Delhi,
Wolfpack Labs,,,,,FES Cafe,Foodtech,Seed,351000.0,Gurugram,
Lenskart,,,,,AjnaLens,Advanced Hardware & Technology,-,,Thane,
Amal Parikh,,,,,Raphe mPhibr,Advanced Hardware & Technology,-,100000000.0,Noida,
Edelweiss Discovery Fund,,,,,GIVA,Ecommerce,-,62000000.0,Bengaluru,
Enam Holdings,nk@108.vc,IN/AIF2/23-24/1349,Category II,Mumbai,EKA Mobility,Cleantech,-,23000000.0,Pune,
Asiana Fund,,,,,Flipspaces,Real Estate Tech,-,5900000.0,Mumbai,
JSW Ventures,,,,,StayVista,Travel Tech,Series B,5000000.0,Mumbai,
Capital A,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
Accurize Syndicate,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
Flair Writing Family Office,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
Eagle Venture Fund,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
AG Ventures,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
Vedang Patel,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
Harsh Lal,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
Rohin Samtaney,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
Sourabh Jain,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
Ankit Nagori,,,,,Rabitat,Ecommerce,Series A,4600000.0,New Delhi,
MGF-Kavachh,,,,,Coratia Technologies,Advanced Hardware & Technology,Pre-Series A,2000000.0,Rourkela,
All in Capital,,,,,Fantail,Enterprise Services,Seed Round,1600000.0,Surat,
growX Ventures,,,,,Armory,Advanced Hardware & Technology,-,1500000.0,Gurugram,
Industrial 47,,,,,Armory,Advanced Hardware & Technology,-,1500000.0,Gurugram,
Dexter Ventures,,,,,Armory,Advanced Hardware & Technology,-,1500000.0,Gurugram,
Alkemi Ventures,,,,,Jobizo,Enterprise Tech,Pre-Series A,1400000.0,Gurugram,
GSF Accelerator,,,,,AuraML,Artificial Intelligence (AI),Pre-Seed,1000000.0,Bengaluru,
Bennett,,,,,Truliv,Real Estate Tech,-,,Chennai,
Coleman & Co,,,,,Truliv,Real Estate Tech,-,,Chennai,
Promaft Partners,,,,,WIOM,Consumer Services/ Enterprise Services,-,35000000.0,New Delhi,
RTP global,,,,,WIOM,Consumer Services/ Enterprise Services,-,35000000.0,New Delhi,
Razorpay,,,,,POP,FinTech,-,30000000.0,Bengaluru,
Helios Holdings,nk@108.vc,IN/AIF2/23-24/1349,Category II,Mumbai,Oben Electric,Cleantech,Series A,11500000.0,Bengaluru,
Sharda family office,,,,,Oben Electric,Cleantech,Series A,11500000.0,Bengaluru,
Kay family,,,,,Oben Electric,Cleantech,Series A,11500000.0,Bengaluru,
Saison Capital,,,,,Techfino,FinTech,-,7500000.0,Bengaluru,
Rebalance,,,,,Darwix AI,Artificial Intelligence,-,1500000.0,Gurugram,
IPV,,,,,Darwix AI,Artificial Intelligence,-,1500000.0,Gurugram,
Growth Sense,Info@1000x.co.in,IN/AIF2/25-26/1983,Category II,Kolkata,Darwix AI,Artificial Intelligence,-,1500000.0,Gurugram,
Sanjay Suri,,,,,Darwix AI,Artificial Intelligence,-,1500000.0,Gurugram,
Amit Lakhotia,,,,,Darwix AI,Artificial Intelligence,-,1500000.0,Gurugram,
Mekin Maheshwari,,,,,Darwix AI,Artificial Intelligence,-,1500000.0,Gurugram,
Anchorage Capital Partners,,,,,7 Ring,Ecommerce,Pre-Series A,462000.0,Mumbai,
Sheth family office,,,,,7 Ring,Ecommerce,Pre-Series A,462000.0,Mumbai,
Rukam Sitara,,,,,Xportel,Logistics,Seed,,Delhi,
Flipkart Ventures,,,,,Xportel,Logistics,Seed,,Delhi,
Gemba Capital,,,,,Sanlayan Technologies,Defence Electronics,Series A,186.0,Bengaluru,
and Shastra VC,,,,,Sanlayan Technologies,Defence Electronics,Series A,186.0,Bengaluru,
Rukam Sitara Fund,,,,,Roomstory.ai,AI,Pre-Seed,3.0,Gurugram,
